title,venue,description,url,Participatory,Quirky,DatingFunVibe,KidFriendly,TotalScore,Tag,PickForNewsletter
Swipe Right Tickets,MainStage,"Join Jane Stanton for a night of comedy about the unpredictable world of modern dating. Whether you’re single, taken, or somewhere in between, Swipe Right will have you relating, cringing, and laughing at the best (and worst) dating stories.
Featuring top comedians from Amazon Prime, CBC, Crave, and Just For Laughs, this show dives into everything from awkward first dates to disastrous DMs. Have your own dating horror story? Write it down and toss it in the bucket — your story might just make it on stage!
Bring your friends, grab a drink, and enjoy a night of unforgettable comedy.
Tickets sell fast — get yours early!
VENUE INFORMATION AVAILABLE
HERE",https://comedybar.ca/shows/Swipe-Right?ev=2025-08-09T19%3A00%3A00,8.0,7,9,3,27,,
COMEDY SLAM Tickets,MainStage,"Comedy Slam: Toronto's Top Weekly Pro Comedy Show at Comedy Bar
Get ready to laugh every Tuesday night at
Comedy Slam
, Toronto’s best weekly
stand-up comedy show
featuring professional comedians for just $10! Hosted by the hilarious
Kyle Patan (JFL Vancouver, JFL Toronto, Grindstone Comedy Festival)
and
Ben Bayfield (Yuk Yuks, Departure Festival)
, this fast-paced showcase brings you top talent seen on
Just For Laughs, Crave, CBC, Much Music
, and more. Every week you don't know who to expect with special drop in's in the past such as Nick Kroll, Craig Robinson, Chris Locke, and MORE! Amazing, professional stand ups for cheap.
Whether you're a die-hard comedy fan or just looking for a fun night out in Toronto,
Comedy Slam
delivers laughs from some of Canada’s best stand-up comedians as well as comedians visiting from all over the world. Don’t miss out on one of
Toronto’s top live comedy events
.
COVID 19 INFORMATION & ACCESSIBILITY
Wearing a mask is recommended, but not mandatory.
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/COMEDY-SLAM?ev=2025-08-05T21%3A30%3A00,2.0,7,8,1,18,,
Cashprov Tickets,MainStage,"Welcome to Cashprov!
Improvisers will play short form improv games for cash. The audience helps select the winners and might even win some cash themselves!
Between the game rounds are local improv troupes performing for your entertainment. All hosted by Tyler Morgan!
Cashprov is Sponsored by Spiritleaf Little Italy
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/Cashprov?ev=2025-08-06T21%3A30%3A00,8.0,7,6,3,24,,
The Pro Show Tickets,MainStage,"Icebreakers Comedy presents a weekly showcase of the best professional stand-up comics and touring headliners from around the world! These pros have performed at all major festivals and recorded specials for Netflix, Crave, Just For Laughs, CBC, and more. Curated and hosted by Jeff Paul - one of the country's top MCs and a featured performer every week!
Follow us for show, tour & festival updates!
facebook.com/IcebreakersComedy
instagram.com/
icebreakerscomedy
Icebreakerscomedy.com
VENUE INFORMATION AVAILABLE
HERE",https://comedybar.ca/shows/the-pro-show?ev=2025-08-07T21%3A00%3A00,2.0,7,6,3,18,,
The New Show with Mark Forward Tickets,MainStage,"Every show is completely new, every month. No repeats.
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/the-new-show-with-mark-forward?ev=2025-08-08T20%3A30%3A00,3.0,7,8,2,20,,
Thirst Trap Tickets,MainStage,"Calling all reply guys, simps and OnlyFans - it's time to get Thirst Trap'd at Toronto's sexiest and funniest standup show featuring some of Canada's hottest and funniest comedians.
You've seen them at Just For Laughs, on CBC, Comedy Central, Amazon Prime and Netflix. You don't wanna miss the monthly sell out show!
Produced and Hosted by Aidan O'Loughlin (JFL Toronto, OutTV, I Heart Jokes Awards Newcomer of the Year winner and writer for Workin' Moms on CBC/Netflix).
Get your tickets before they sell out!
$23 online, $28 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/thirst-trap?ev=2025-08-09T20%3A30%3A00,2.0,7,8,1,18,,
Open Mic: The Bucket Show Tickets,MainStage,"Open Mic show
Put your name in the bucket: 12 names get picked",https://comedybar.ca/shows/open-mic-the-bucket-show?ev=2025-08-05T23%3A00%3A00,8.0,6,5,3,22,,
No Name Comedy Tickets,MainStage,"Top quality local professional comedians for only $5 (plus tax and fees), as seen on Just For Laughs, CBC, Netflix, Tik Tok and more!
Everything is expensive nowadays, even laughter, but with No Name Comedy we have made it more affordable than a latte at your coffee shop (with no awkward tipping either!).
Come get some much needed midweek laughs with some of the cities best comedians.
Lineup changed every week. Hosted by John Mostyn @jmostyncomedy
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/no-name-comedy?ev=2025-08-06T21%3A30%3A00,3.0,7,8,2,20,,
Laugh Sabbath Tickets,MainStage,"This beloved, long-running, madcap comedy show has been entertaining Toronto's top laughers since 2006!
LAUGH SABBATH is a different show every week featuring a rotating ensemble of radical and exciting comedians. Acclaimed by critics as one of the best comedy shows in the city and celebrated by fans as a cult favourite for over a decade. Come see where comedy legends are born!
Thursdays at 9:30pm in the Comedy Bar Cabaret.
Laugh Sabbath is a comedic force in Toronto and is recognized for showcasing some of the most creative and talented comedic minds in all of North America! Laugh Sabbath comedians appear at festivals across Canada and the U.S. Many have filmed their own comedy specials at Just For Laughs and headlined their own shows at JFL42. They continue to rack up countless awards and nominations for writing and performing and have been featured on CRAVE, CBC, CTV, The Comedy Network, MUCH, MTV Canada, VICE, YTV, FNTSY, IFC, Game TV and HBO Canada.
Some press:
""...the best of the city's young standup and sketch comedians."" - THE NATIONAL POST
""... a gathering spot for other comics and crowds with a taste for the unusual. A scan of the audience shows a who's who of Toronto's comedy underground.""- THE GLOBE & MAIL
""Comedy gold."" - GLENN SUMI
""... everyone on this weekly variety show killed..."" - NOW MAGAZINE
""Toronto's cream of the crop.... Don't Miss!"" - TIME OUT NEW YORK
""Laugh Sabbath is an inspiration to the whole scene."" - THE TORONTOIST
""A new era of comedy taking root in the city."" - TORONTO STAR
""A constant repository of boundary-free laughs."" - EYE WEEKLY
Follow us! @laughsabbath
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/laugh-sabbath?ev=2025-08-07T21%3A30%3A00,2.0,9,7,1,19,,
Catch23 Tickets,MainStage,"Toronto's hit competitive improv show returns! 3 teams of Toronto's best improvisers compete over 4 rounds to crown the Catch23 champion. And the audience is a part of the action, scoring the scenes and giving suggestions that help make this the funniest night in the city!
Produced by Hisham Kelati and Comedy Bar
$23 online, $25 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/catch23?ev=2025-08-08T21%3A00%3A00,9.0,7,8,2,26,,
Comedy Bar’s Main Event Tickets,MainStage,"Highlighting some of the most dynamic stand-up comedians the city has to offer! Rotating line-ups each month featuring comics seen on JFL, Winnipeg Comedy Festival, CBC & CBC Gem, CRAVE, SiriusXM and more!
An ideal night out whether you're on a date or just getting together with friends.
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/comedy-bars-main-event?ev=2025-08-09T21%3A00%3A00,2.0,7,8,3,20,,
Canadian Famous Tickets,MainStage,"Cowbell Comedy presents Canadian Famous
Seasoned stand-up comedian, actor and improviser Braydon Lynch (Just For Laughs Toronto, Edinburgh Fringe,Cowbell Comedy) takes you on a wild journey through the trials and tribulations of growing up in small-town Canada. From battling addictions to being hit by a car, riding bulls to playing hockey, life on the Canadian prairies to the nation's comedy capital: Toronto. This comedian breaks down his walls and shows vulnerability while making light of life's more serious topics like relationship problems, recovery and mental health struggles. Buckle up for the triumphs, failures and what it’s like to become Canadian Famous.
More Laughs, More Comedy, More Cowbell..
Online-$23
Door-$33
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/canadian-famous-bloor?ev=2025-08-08T22%3A00%3A00,2.0,7,6,1,16,,
Double Down Tickets,MainStage,"Enjoy a night of great stand-up comedy hosted by Yaw Attuah. Come discover new favourites and get an extended set from a hilarious headliner.
Price: $20+tax in advance. $25+tax at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/double-down?ev=2025-08-09T22%3A00%3A00,3.0,7,8,2,20,,
Laugh it Off with Andrew Packer Tickets,MainStage,"At Laugh It Off, stand-up comedian Andrew Packer (Kill Tony, Man News, +1M Subs on Youtube) teams up with his real-life dad—an actual therapist with over 35 years experience—for a comedy show like no other.
Audience members anonymously submit a real problem/grievance from their life that they want to ""laugh off"". Then, Andrew and a lineup of comedians turn those real-life topics into improvised stand-up, while his dad offers heartfelt (and hilarious) insight from a therapist’s perspective on stage.
It’s raw, real, and ridiculously funny—part stand-up, part therapy and incredibly entertaining.
Last show sold out early—get your tickets now!
Because sometimes the best way to heal… is to laugh it off.
See clips and follow @laughitofflive on instagram
here
$25+hst online, $30+hst at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/laugh-it-off-with-andrew-packer?ev=2025-08-08T23%3A00%3A00,8.0,9,7,2,26,,
Toronto Comedy All Stars Tickets,MainStage,"Toronto's top comics take the mainstage of the iconic Comedy Bar, featuring comedians who've been on Just For Laughs, SiriusXM, Comedy Central and probably your local No Frills.
This show sells out every month so advanced tickets are highly recommended.
Content Warning is in effect as we're pretty spicy.
$25 online, $28 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/toronto-comedy-all-stars?ev=2025-08-09T23%3A00%3A00,2.0,7,8,1,18,,
Comedy Bar: After Dark Tickets,MainStage,"Come see Toronto's best late night comedy showcase featuring a rotating cast of stand-up comics who have amassed millions of views on social media and appeared on Just For Laughs, CBC, Comedy Central UK, CTV and much much more!
Tickets are only $18 in advance!
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-08T23%3A30%3A00,2.0,7,8,3,20,,
Comedy Bar: After Dark Tickets,MainStage,"Come see Toronto's best late night comedy showcase featuring a rotating cast of stand-up comics who have amassed millions of views on social media and appeared on Just For Laughs, CBC, Comedy Central UK, CTV and much much more!
Tickets are only $18 in advance!
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-09T23%3A30%3A00,2.0,7,7,3,19,,
MOSTLY ITALIAN COMEDY SHOW Tickets,MainStage,"MOSTLY ITALIAN COMEDY SHOW
An Italian comedy show featuring mostly Italian standups for mostly Italian audience - non Italians welcome!
Featuring:
Sandra Battaglini
Marco Georgia
Dave Luca
Cassandra Castellucci
Mark deBonis
Nikki Boragina
Robert Orlando
Julia Corsini
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/MOSTLY-ITALIAN-COMEDY-SHOW?ev=2025-08-10T19%3A00%3A00,2.0,7,7,3,19,,
All of Us Are Asian Tickets,MainStage,"A comedy show featuring some of the best Asian comedians in the city! Mahjong Mafia presents All of Us Are Asian: Comedy Show! This is Toronto’s hottest comedy show that will take you on a wild and hilarious ride. If it’s date night or just go out to see some comedy night this is the funniest and most diverse show in town! This show has ALWAYS sold out, get your tickets now!
Every show is uniquely special because we bring different guest comedians to each performance! Our stage has hosted comedians who have shone at renowned festivals like Just for Laughs, and can be seen on platforms such Disney+, Apple TV, CBC, Netflix, and many more.
$20 online
$25 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/all-of-us-are-asian?ev=2025-08-11T20%3A00%3A00,3.0,7,8,2,20,,
BLOOMIN FUNYUNS Tickets,MainStage,"Hosted by Al Val, Bloomin Funyuns is a show that features some of them most unique and fun pros and up and comers!
This show is produced by Dan Galea and Al Val.
DanGalea.ca
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/bloomin-funyuns?ev=2025-08-12T19%3A30%3A00,3.0,8,7,2,20,,
Bad Romance: Summer of Love Tickets,MainStage,"If you know and love (or hate) the cheesy and formulaic made-for-TV romantic comedies of Hallmark, Lifetime, and others, you'll fall in LOVE with this over-the-top-yet-earnest take on a romance in a quirky small town. The show with meet-cutes, offbeat townsfolk, and a big town event to give everyone both warm fuzzies AND confused laughs!
Featuring :
Anton Wong
Matthew Ferguson
Michael Lee
Marina Gladkaia
Ana Luiza Valente
Kirk McCullough
Malcolm Hinds
Csilla Somogyvari
Liam Beauchamp
$15 online, $20 at the door
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/bad-romance?ev=2025-08-13T20%3A00%3A00,2.0,9,7,1,19,,
Daniel Simonsen Tickets,MainStage,"Silk Screaming Presents: Daniel Simonsen
Daniel Simonsen made his US late-night debut on Late Night with Seth Meyers and has appeared on The Late Show with Stephen Colbert, recurred on Comedy Central’s This Week at the Comedy Cellar, and featured in Stavros Halkias' ""Let's Start a Cult"". Simonsen has toured with Louis C.K., Stavros Halkias, Bert Kreischer, regularly performs at the Edinburgh Fringe Festival and won UK’s So You Think You’re Funny and Best Newcomer awards. In 2022 he won the ""New York's Funniest"" competition at the New York Comedy Festival. He recurred on Vic and Bob’s BBC sitcom, House of Fools and ITV’s Timewasters. His appearance on Russell Howard’s Good News garnered 2.4 millions views on YouTube. He created and wrote his own digital series for ALL4 called Daniel. He is a Comedy Cellar regular and tours nationwide and internationally.
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/daniel-simonsen?ev=2025-08-14T19%3A00%3A00,2.0,7,8,1,18,,
THE HEADLINER Tickets,MainStage,"One of the best comedians in Canada does an extended set. Hosted by Adam Christie.
Adam Christie is an award winning stand-up who has appeared on SCHITT'S CREEK and WHAT WE DO IN THE SHADOWS. He is the former head writer of THIS HOUR HAS 22 MINUTES, and a former staff writer for BARONESS VON SKETCH SHOW. Exclaim Magazine called him ""One of the most compelling acts in Canada”
COVID 19 INFORMATION & ACCESSIBILITY
Wearing a mask is recommended, but not mandatory.
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/the-headliner?ev=2025-08-15T19%3A00%3A00,2.0,7,6,1,16,,
THREESOME Tickets,MainStage,"Three of Toronto’s best comics...and you get to watch 😉
Comedy Bar’s hottest show featuring comics you’ve seen on JUST FOR LAUGHS, DON’T TELL COMEDY, KILL TONY, KEVIN HART’S LOL NETWORK, CBC, + MORE
Online - $ 25
Door - $ 28
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/threesome?ev=2025-08-16T20%3A30%3A00,3.0,7,8,2,20,,
Mundial De Comedia – Roast Latino Tickets,MainStage,"(Spanish show) Toronto’s TOP latin comedians are getting together to Roast Latin-American! No mercy!
Two special guests will surprise the audience with some beats!
Back by popular demand.
NO SE LO PUEDEN PERDER, MI GENTE.
Roster:
Pepe Rosa (Bolivia)
ManGus Viana (Colombia)
Stephan Dyer (Costa Rica)
Armando Hernández (México)
Gaby Gabz (México)
Hernán Acosta (Venezuela)
ACCESSIBILITY
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/mundial-de-comedia-roast-latino?ev=2025-08-10T19%3A00%3A00,3.0,7,6,2,18,,
We Might Need Therapy Tickets,MainStage,"""We Might Need Therapy"" a stand-up comedy show where the comics would probably be better off in a mental institution. Come watch Toronto's darkest, silliest, goofiest, and most unhinged tell their best jokes and have you hehe all night.
This show has repeatedly sold out with performances by nationally touring comics featured on Netflix, Just For Laughs, SiriusXM, Kevin Hart's LOL network, and more.
So tell your friends, girlfriend, boyfriend, partner, dog walker and ur momma too while tickets last!
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/we-might-need-therapy?ev=2025-08-11T20%3A00%3A00,2.0,9,7,1,19,,
New in Town Comedy (with James Roque) Tickets,MainStage,"**A lineup of the best pro comics in Toronto – hosted by Canada’s latest comedy import and one of New Zealand’s top comedians**
James Roque is an award-winning comedian and household comedy name...back in New Zealand. He’s just moved here to Toronto and is down to make some friends. So he’s handpicked some of his favorite local comedians to bring you a fun night out of comedy.
Join host James (Just For Laughs) and some the best local acts (and the occasional guest visitor) as they provide you with some much needed summer laughs.
Featuring:
Fiona O’Brien (CBC, Winnipeg Comedy Festival, Just For Laughs)
Moe Ismail (Just For Laughs, CBC)
Juliana Rodrigues (CTV, CBC’s The Debaters)
Jack Hirschfield (Just For Laughs Toronto)
Joel McCarthy (Visiting all the way from New Zealand)
VENUE INFORMATION AVAILABLE
HERE",https://comedybar.ca/shows/new-in-town-comedy-with-james-roque?ev=2025-08-12T20%3A00%3A00,2.0,5,7,3,17,,
Nice Time Tickets,MainStage,"Three of Toronto's best comedians (and sometimes guests too!) improvise a show for you, the audience. Guaranteed to be a very nice time.
Featuring:
Dan Beirne (Ginny & Georgia)
Mark Little (Cavendish)
Nicole Passmore (Second City TourCo)
& guests
COVID 19 INFORMATION & ACCESSIBILITY
Wearing a mask is recommended, but not mandatory.
Comedy Bar is a basement venue with 16 steps down to the entrance. Washrooms are located on the main floor.
The use of smoke machines and strobe, flashing lights or lasers may occur during performances",https://comedybar.ca/shows/nice-time?ev=2025-08-13T20%3A00%3A00,4.0,7,8,2,21,,
